"Plong_N","Plat_N"
187.61,72.95
242.22,82.26
160.86,80.34
179.85,77.14
199.78,54.42
197.36,73.7
248.6,74.84
234.54,59.69
257.02,72.7
245.37,63.66
253.81,76.89
264.55,59.73
202.61,65.13
250.44,60.99
232.68,74.83
207.22,57.94
249.83,78.01
261.23,70.48
257.46,61.22
214.14,64.01
212.7,63.2
201.2,57.02
213.6,61.65
189.92,57.57
241.96,60.64
204.35,62.1
202.59,79.1
194.16,76.49
264.73,72.65
192.32,63.84
163.12,70.53
222.28,71.16
223.25,62.06
254.3,74.98
157.6,71.38
-64.98,72.55
214.51,60.46
189.89,70.58
201.56,73.25
171.16,73.5
189.07,71.22
189.7,69.15
129.7,74.1
246.81,75.67
218.83,69.19
223.21,54.85
239.08,67.04
-60.09,68.8
243.3,79.46
101.51,87.47
198.78,66.86
244.89,72.7
261.11,68.66
197.3,78.31
238.46,68.93
198.39,73.76
248.67,63.51
176.63,65.78
147.43,58.85
181.42,48.46
217.2,64.33
248.32,64.42
182.89,76.34
202.2,67.83
216.57,51.9
218.29,58.99
133,79.96
118.39,69.68
135.34,62.65
175.4,75.12
213.29,80.04
143.87,69.08
156.72,57.83
189.49,55.89
178.85,51.8
199.4,67.98
266.54,58.79
179.03,65.27
131.01,72.53
44.82,76.49
254.69,61.84
188.42,79.58
141.11,61.48
277.5,84.43
150.73,72.72
186.16,55.38
-25.31,77.85
198.46,82.46
89.47,84.36
272.87,76.08
193.98,57.48
211.41,61.21
145.38,52.89
214.22,80.6
129.45,58.82
138.7,68.11
-70.12,79.23
228.62,71.42
153.69,62.09
145.13,58.32
170.7,63.53
175.04,65.96
227.11,64.67
242.19,60.68
-18.47,72.55
136.85,74.74
219,68.3
222.16,69.8
207.56,74.69
194.29,70.51
195.11,69.59
242.2,62.04
162.33,63.74
159.25,55.13
184.29,67.18
205.97,63.37
141.6,78.12
186.87,72.49
206.97,72.65
195.22,49.53
203.7,81.22
203.7,69.91
115.07,84.23
187.14,85.84
218.63,62.19
-52.38,74.85
192.03,57.53
123.03,64.49
77.53,81.62
158.88,60.81
231.34,59.03
171.16,64.36
238.51,73.41
211.05,85.6
-64.98,73.89
209.32,68.92
174.31,68.43
-43.95,78.59
242.33,85.49
213.32,64.2
238.89,69.05
239.87,66.19
271.78,69.84
263.59,61.71
188.46,57.66
251.05,60.77
-16.16,78
279.44,75.71
215.01,75.47
227.78,73.12
213.43,69.73
36.73,85.17
240.93,64.41
184.14,70.57
-72.63,66.76
229.54,77.53
191.65,75.69
183.34,66.46
133.97,68.77
194.26,69.61
183.66,59.72
222.71,75.06
215.94,67.47
199.68,78.14
183.58,75.14
229.16,67.54
234.44,68.96
222.96,64.37
215.12,63.79
232.01,65.35
280.05,74.79
204.06,76.71
194.49,67.2
168.02,81.02
220.47,71.41
177.88,74.08
235.31,59.39
200.48,69.55
224.45,62.4
170.1,70.36
-70.41,72.9
262.72,77.35
184.22,68.87
247.22,72.36
243.62,61.4
180.91,84.03
248.51,71.26
180.56,77.72
202.57,72.92
206.44,60.7
222.68,67.77
174.91,57.78
162.75,64.71
191.83,57.12
277.42,58.12
168.38,63.86
187.27,78.44
181.4,64.39
193.54,62.43
191.6,75.51
231.1,60.92
249.27,71.93
188.46,81.41
245.36,62.58
231.49,72.62
214.82,76.28
213.35,63.66
182.82,78.61
182.56,78.32
277.04,79.51
147.57,73.31
180.31,72.22
176.75,70.18
162.46,75.5
207.17,77.61
177.74,66.01
224.17,60.49
186.67,73.41
16.43,73.59
205.19,77.24
179.68,72.93
197.78,70.94
215.28,58.75
192.71,67.33
221.24,75.34
243.96,59.29
219.35,83.72
