"Plong_R","Plat_R"
301.83,-84.15
171.49,-82.12
257.33,-79.13
272.12,-82.75
15.03,-75.99
131.09,87.16
306.17,78.87
263.31,72.2
303.22,75.34
278.42,71.6
316.55,78.9
291.89,36.75
109,-62.16
17.09,-82.93
279.71,67.83
299.49,82.87
32.91,-77.96
321.39,80.29
300.45,72.51
285.28,65.73
233.21,81
228.78,80.72
197.58,77.65
229.98,79.5
169.65,76.69
271.98,70.4
204.53,80.9
227.13,-86.65
272.4,-86.36
127.12,-73.47
346.92,-80.9
291.02,-75.7
89.22,-83.8
70.06,-77.41
129.02,-77.62
285.92,-74.51
143.2,-67.35
51.34,-78.51
319.25,-83.92
336.22,-88.06
107.18,79.5
134.31,83.96
145.42,83.2
88.43,69.17
309.01,79.79
74.58,-83.47
244.32,72.48
97.88,-76.11
140.65,-62.53
150.67,-81.99
224.16,-76.24
0.48,-83.79
116.57,-78.44
117.06,-71.01
247.72,-86.41
101.25,-77.65
313.14,-87.45
100.97,-70.43
313.62,-77.55
295.65,-62.89
105.06,-48.41
340.42,-69.19
60.96,-80.55
101.82,-71.25
277,-83.46
11.99,-84.72
51.73,-72.34
58.31,-76.64
256,-74.15
269.46,-62.77
284.9,-61.46
282.36,-81.24
193.36,-86.12
282.68,-68.99
303.63,-65.73
350.24,-75.61
334.08,-70.34
359.98,-84.58
305.66,-58.08
109.63,-60.68
317.88,-78.06
271.52,-68.2
223.91,-63.13
103.82,-67.13
250.93,-84.28
289.35,-62.51
179.32,-78.43
279.73,-73.36
343.93,-74.54
176.98,-68.18
223.4,-83.82
233.08,-73.19
140.24,-74.54
179.09,77.36
224.29,79.59
118.11,57.87
13.95,85.67
104.22,56.38
127.08,47.41
281.26,-66.76
157.34,-74.29
99.06,-82.15
297.3,-67.4
294.45,-61.65
310.61,-74.32
311.31,-77.13
79.66,-78.09
92.23,-70.35
174.79,-61.78
269.99,-71.25
72.42,-82.83
83.48,-82.97
60.91,-89.58
330.59,-85.06
338.04,-84.78
93.66,-71.39
302.24,-71.52
307.99,-65
321.54,-80.67
29.24,-81.67
263.31,-74.53
303.75,-83.79
33.23,-88.13
6.47,-72.7
218.15,-85.1
14.8,-86.19
238.71,-74.86
221.96,-80.73
61.61,-78.74
154.77,-67.87
354.44,-77.08
276.61,-59.24
235.3,-69.8
277.77,-2.99
122.71,68.46
258.85,72.79
129.8,74.95
295.45,80.58
29.39,81.58
103.28,45.7
325.71,68.71
223.13,85.22
124.97,78.17
347.57,70.62
192.49,-80.85
51.27,-81.29
101.92,-77.6
97.13,-75.25
125.38,-69.37
110.04,-64.22
346.41,-76.43
242.62,-51.18
99.99,-67.46
183.09,-67.63
142.02,-73.03
121.77,-87.8
106.33,-83.37
61.02,-85.09
183.94,-57.92
215.38,-72.83
95.41,-73.59
309.68,-82.23
130.37,-62.81
139.91,-84.47
282.05,-85.77
321.83,-80.01
65.47,6.8
98.04,65.93
155.23,84.6
334.59,-76.38
117.16,-85.62
242.92,83
63.07,86.91
104.93,83.5
267.93,79.46
277.47,78.86
252.52,79.08
235.44,80.65
267.33,77.08
319.92,72.12
301.39,45.19
302.27,39.57
239.34,-88.5
345.11,-83.3
73.03,80.46
85.59,44.91
267.12,84.45
108.24,81.64
263.9,71.72
179.53,85.7
252.44,77.3
116.26,77.78
320.79,68.63
321.08,77.39
136.23,81.49
296.86,77.59
274.29,70.43
52.1,81.4
294.57,76.46
88.41,82.95
168.62,88.07
210.83,79.85
258.47,81.49
143.08,72.49
121.27,72.25
174.34,76.8
296.37,56.67
307.68,-73.71
260.25,-84.38
323.24,-78.33
352.49,-80.29
283.9,-85.75
80.35,-74.21
116.84,-76.74
239.49,-83.5
97.11,-70.76
107.06,-82.05
139.15,-87.86
50.85,-80.91
261.82,-83.41
263.86,-83.38
154.09,-76.32
277.12,-72.89
298.36,-81.73
302.52,-79.78
276.78,-77.93
209.54,-88.11
134.57,78.04
249.96,76.06
297.92,-84
23.75,60.62
225.1,-88.28
294.67,-81.79
340.16,-86.08
232.04,77.19
339.54,-83
119.63,-86.1
92.6,-68.69
198.99,-83.09
